Date,humidity,precipitation,pressure,temperature,wind-speed,co,so2,pm25,pm10,o3,no2,aqi_co,aqi_so2,aqi_pm25,aqi_pm10,aqi_o3_1,aqi_no2,AQI_total
2019-05-31,56.5,,1009.8,21.8,2.2,0.34,0.0029,34.0,13.0,0.0312,0.010199999999999999,4,4,87,12,0,0,87
2019-06-01,52.5,,1009.0,21.6,2.0,0.34,0.0029,57.0,20.0,0.0368,0.010199999999999999,4,4,133,19,0,0,133
2019-06-02,53.0,,1011.0,21.9,1.4,0.34,0.0043,70.0,26.0,0.0361,0.009300000000000001,4,6,154,24,0,0,154
2019-06-03,33.5,,1009.0,21.4,2.0,0.22999999999999998,0.0029,38.0,12.0,0.033600000000000005,0.0112,3,4,95,11,0,0,95
2019-06-04,17.5,,1009.0,22.5,2.0,0.34,0.0029,42.0,15.0,0.032,0.013900000000000001,4,4,104,14,0,0,104
2019-06-05,22.5,,1007.4,22.7,2.0,0.22999999999999998,0.0029,30.0,10.0,0.0289,0.0121,3,4,80,9,0,0,80
2019-06-06,48.0,,1009.0,24.4,2.0,0.22999999999999998,0.0029,63.0,22.0,0.041600000000000005,0.0149,3,4,145,20,0,0,145
2019-06-07,77.0,,1007.0,21.6,2.0,0.34,0.0029,80.0,35.0,0.0304,0.0158,4,4,159,32,0,0,159
2019-06-08,35.7,,997.0,21.0,2.0,0.34,0.0015,42.0,14.0,0.032,0.009300000000000001,4,2,104,13,0,0,104
2019-06-09,33.5,,1005.0,17.7,2.0,0.22999999999999998,0.0015,30.0,10.0,0.0304,0.0056,3,2,80,9,0,0,80
2019-06-10,73.8,,1004.0,16.6,2.0,0.22999999999999998,0.0015,13.0,6.0,0.0233,0.008400000000000001,3,2,42,6,0,0,42
2019-06-11,57.5,,1004.7,19.7,1.5,0.22999999999999998,0.0015,21.0,7.0,0.0264,0.0075,3,2,62,6,0,0,62
2019-06-12,59.2,,1008.5,19.4,0.8,0.22999999999999998,0.0029,34.0,10.0,0.024800000000000003,0.0121,3,4,87,9,0,0,87
2019-06-13,55.1,,1011.9,22.1,2.6,0.34,0.0043,42.0,14.0,0.028100000000000003,0.0149,4,6,104,13,0,0,104
2019-06-14,57.8,,1012.2,22.5,2.8,0.34,0.0029,34.0,12.0,0.0264,0.010199999999999999,4,4,87,11,0,0,87
2019-06-15,83.6,,1000.9,17.5,1.1,0.22999999999999998,0.0029,17.0,7.0,0.0272,0.009300000000000001,3,4,54,6,0,0,54
2019-06-16,45.0,,989.3,24.4,2.0,0.34,0.0015,21.0,7.0,0.0296,0.006500000000000001,4,2,62,6,0,0,62
2019-06-17,29.8,,1006.7,24.4,2.1,0.22999999999999998,0.0015,17.0,5.0,0.0368,0.0075,3,2,54,5,0,0,54
2019-06-18,53.6,,1010.0,23.9,2.3,0.34,0.0029,42.0,13.0,0.0344,0.0121,4,4,104,12,0,0,104
2019-06-19,58.1,,1005.0,24.4,1.8,0.34,0.0029,63.0,22.0,0.032799999999999996,0.013000000000000001,4,4,145,20,0,0,145
2019-06-20,59.1,,1004.8,24.4,1.5,0.34,0.0029,76.0,31.0,0.0304,0.0112,4,4,157,29,0,0,157
2019-06-21,62.8,,1008.0,24.4,2.0,0.34,0.0029,63.0,26.0,0.0256,0.0112,4,4,145,24,0,0,145
2019-06-22,72.1,,1003.2,22.6,1.6,0.22999999999999998,0.0029,25.0,10.0,0.0289,0.009300000000000001,3,4,70,9,0,0,70
2019-06-23,71.8,,1004.7,22.2,1.0,0.22999999999999998,0.0029,30.0,10.0,0.0184,0.009300000000000001,3,4,80,9,0,0,80
2019-06-24,81.0,,1009.0,20.2,1.0,0.22999999999999998,0.0015,21.0,8.0,0.0184,0.010199999999999999,3,2,62,7,0,0,62
2019-06-25,65.2,,1015.5,23.3,1.8,0.34,0.0043,50.0,16.0,0.024100000000000003,0.0167,4,6,120,15,0,0,120
2019-06-26,60.1,,1013.1,25.5,2.8,0.22999999999999998,0.0029,59.0,20.0,0.028100000000000003,0.0112,3,4,137,19,0,0,137
2019-06-27,60.6,,1005.5,26.1,2.9,0.22999999999999998,0.0015,38.0,15.0,0.0184,0.0075,3,2,95,14,0,0,95
2019-06-28,67.0,,999.5,26.1,1.8,0.22999999999999998,0.0029,42.0,17.0,0.0184,0.010199999999999999,3,4,104,16,0,0,104
2019-06-29,82.0,,1002.6,21.1,1.0,0.34,0.0015,21.0,9.0,0.024100000000000003,0.0112,4,2,62,8,0,0,62
2019-06-30,83.0,,998.5,21.6,1.1,0.34,0.0015,25.0,11.0,0.0152,0.010199999999999999,4,2,70,10,0,0,70
2019-07-01,81.5,,1002.7,22.9,0.8,0.34,0.0029,42.0,19.0,0.010400000000000001,0.0167,4,4,104,18,0,0,104
2019-07-02,77.8,,1006.8,23.8,1.0,0.34,0.0029,57.0,26.0,0.0152,0.0195,4,4,133,24,0,0,133
2019-07-03,68.0,,1009.3,24.6,1.3,0.45,0.0029,68.0,30.0,0.0289,0.0195,5,4,152,28,0,0,152
2019-07-04,78.1,,1004.5,23.3,1.5,0.22999999999999998,0.0029,17.0,8.0,0.0272,0.010199999999999999,3,4,54,7,0,0,54
2019-07-05,70.6,,1005.4,22.9,1.0,0.34,0.0029,38.0,13.0,0.0352,0.013900000000000001,4,4,95,12,0,0,95
2019-07-06,75.5,,1004.5,21.7,1.3,0.34,0.0015,25.0,10.0,0.0289,0.008400000000000001,4,2,70,9,0,0,70
2019-07-07,82.0,,1005.3,20.0,1.5,0.22999999999999998,0.0015,9.0,4.0,0.0256,0.0038,3,2,29,4,0,0,29
2019-07-08,65.3,,1008.1,20.8,1.5,0.22999999999999998,0.0015,21.0,8.0,0.0216,0.0075,3,2,62,7,0,0,62
